compound_chembl_id,assay_description,standard_type,bao,pchembl_value,target_chembl_id,hgncid,target_name
CHEMBL667,Agonist activity at alpha3beta4 nAChR expressed in HEK293 cells by FLIPR membrane potential assay,EC50,BAO_0000188,4.7,CHEMBL1907594,CHRNA3,Neuronal acetylcholine receptor; alpha3/beta4
CHEMBL90,Agonist activity at human histamine H1 receptor expressed in Sf9 cells coexpressing RGS4 by steady-state GTPase assay,EC50,BAO_0000188,6.72,CHEMBL231,HRH1,Histamine H1 receptor
CHEMBL97,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp3a4 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,4.9,CHEMBL340,CYP3A4,Cytochrome P450 3A4
CHEMBL664,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors Targeting the Menin-MLL Interaction in MLL Related Leukemias: Competition With Fluorescein Labeled MLL-derived Peptide. (Class of assay: confirmatory) ,Potency,BAO_0000186,4.4,CHEMBL2093861,MEN1,Menin/Histone-lysine N-methyltransferase MLL
CHEMBL705,Agonistic activity towards retinoid X receptor-beta,Ki,BAO_0000192,8.42,CHEMBL1870,RXRB,Retinoid X receptor beta
CHEMBL8739,PUBCHEM_BIOASSAY: qHTS assay for small molecule agonists of retinoid X receptor alpha signaling. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL2061,RXRA,Retinoid X receptor alpha
CHEMBL705,Transcriptional activation in CV-1 cells expressing Retinoic acid receptor RAR alpha,EC50,BAO_0000188,6.52,CHEMBL2055,RARA,Retinoic acid receptor alpha
CHEMBL925,TP_TRANSPORTER: uptake in Xenopus laevis oocytes,Km,BAO_0000477,,CHEMBL2073719,SLC16A10,SLC16A10 protein
CHEMBL920,"TP_TRANSPORTER: inhibition of TEA uptake (TEA: 5 uM, Choline: 500 uM) in OCT1-expressing HeLa cells",Activity,BAO_0000375,,CHEMBL5685,SLC22A1,Solute carrier family 22 member 1
CHEMBL784,Maximal response relative to Gamma-aminobutyric acid A against human Gamma-aminobutyric-acid A receptor alpha-5-beta-3-gamma-2 expressed in Xenopus oocytes,Max,BAO_0000179,,CHEMBL2094122,GABRG2,GABA-A receptor; alpha-5/beta-3/gamma-2
CHEMBL90,Agonist activity at human histamine H4 receptor expressed in human SK-N-MC cells by CRE-beta galactosidase reporter gene assay,EC50,BAO_0000188,7.7,CHEMBL3759,HRH4,Histamine H4 receptor
CHEMBL784,Maximal response relative to Gamma-aminobutyric acid A against human Gamma-aminobutyric-acid A receptor alpha-2-beta-3-gamma-2 expressed in Xenopus oocytes,Max,BAO_0000179,,CHEMBL2094130,GABRB3,GABA-A receptor; alpha-2/beta-3/gamma-2
CHEMBL97,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,,CHEMBL3397,CYP2C9,Cytochrome P450 2C9
CHEMBL90,Agonist activity at human histamine H3 receptor expressed in HEK293 cells assessed by forskolin induced cAMP response element activation by luciferase reporter gene assay,EC50,BAO_0000188,7.8,CHEMBL264,HRH3,Histamine H3 receptor
CHEMBL8739,Agonist activity at human GPR120-G-alpha-16 fusion protein expressed in Flp-in HEK293 cells assessed as effect on intracellular calcium concentration by FLIPR assay,EC50,BAO_0000188,5.58,CHEMBL5339,FFAR4,G-protein coupled receptor 120
CHEMBL95606,ST_JUDE_LEISH: Cytotoxicity against transgenic Leishmania Mexicana promastigotes LmGLUT1 that are glucose transport deficient and complemented with the human glucose transporter GLUT1. Activity is measured by DNA content using SYBR green in vitro,IC50,BAO_0000190,,CHEMBL2535,SLC2A1,Glucose transporter
CHEMBL762,PUBCHEM_BIOASSAY: qHTS Assay for Agonists of the Thyroid Stimulating Hormone Receptor. (Class of assay: confirmatory) ,Potency,BAO_0000186,4.5,CHEMBL1963,TSHR,Thyroid stimulating hormone receptor
CHEMBL705,Transcriptional activation in CV-1 cells expressing retinoic acid receptor RAR beta,EC50,BAO_0000188,8.52,CHEMBL2008,RARB,Retinoic acid receptor beta
CHEMBL88804,Agonist potency against cloned Metabotropic glutamate receptor 2 (mGluR-2).,Ki,BAO_0000192,4.46,CHEMBL5137,GRM2,Metabotropic glutamate receptor 2
CHEMBL67166,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors Targeting the Menin-MLL Interaction in MLL Related Leukemias: Competition With Texas Red Labeled MLL-derived Mutant Peptide. (Class of assay: confirmatory) ,Potency,BAO_0000186,5.1,CHEMBL2093861,MEN1,Menin/Histone-lysine N-methyltransferase MLL
CHEMBL784,Maximal response relative to Gamma-aminobutyric acid A against human Gamma-aminobutyric-acid A receptor alpha-2-beta-3-gamma-2 expressed in Xenopus oocytes,Max,BAO_0000179,,CHEMBL2094130,GABRA2,GABA-A receptor; alpha-2/beta-3/gamma-2
CHEMBL8739,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of HPGD (15-Hydroxyprostaglandin Dehydrogenase). (Class of assay: confirmatory) [Related pubchem assays: 2429 (Confirmation qHTS Assay for Inhibitors of HPGD (15-Hydroxyprostaglandin Dehydrogenase)), 2407 (Probe Development Summary for Inhibitors of HPGD (15-Hydroxyprostaglandin Dehydrogenase)), 2427 (Thermal Shift Assay for Inhibitors of HPGD (15-Hydroxyprostaglandin Dehydrogenase))]",Potency,BAO_0000186,4.55,CHEMBL1293255,HPGD,15-hydroxyprostaglandin dehydrogenase [NAD+]
CHEMBL940,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Bloom&apos;s syndrome helicase (BLM). (Class of assay: confirmatory) [Related pubchem assays: 593 (Fluorescein region spectral profiling screen), 2386 (Probe Development Summary for Inhibitors of Bloom&apos;s syndrome helicase (BLM)), 594 (Rhodamine region spectral profiling screen), 2364 (qHTS Validation Assay for Inhibitors of Bloom&apos;s syndrome helicase (BLM))]",Potency,BAO_0000186,2.8,CHEMBL1293237,BLM,Bloom syndrome protein
CHEMBL76232,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp3a4 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,,CHEMBL340,CYP3A4,Cytochrome P450 3A4
