HMDB	SMILES
HMDB0010325	CCO[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O
HMDB0003269	OC(=O)CNC(=O)C1=CN=CC=C1
HMDB0002226	CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCCC(O)=O
HMDB0004953	CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO)NC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC
HMDB0001390	CN1[C@@H](CC(O)C1=O)C1=CN=CC=C1
NA	NA
HMDB0008048	CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC
HMDB0001043	CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O
HMDB0000610	CCCCC\C=C/C\C=C/CCCCCCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C
HMDB0006726	CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C
HMDB0001976	CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O
HMDB0000779	OC(CC1=CC=CC=C1)C(O)=O
HMDB0004072	OC1=CC=C(C=C)C=C1
HMDB0002925	CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O
HMDB0005060	CCCCC\C=C/C\C=C/CCCCCCCCCC(O)=O
HMDB0004193	CN1C=C(C=CC1=O)C(N)=O
HMDB0001488	OC(=O)C1=CN=CC=C1
HMDB0000296	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O
HMDB0012107	CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC
HMDB0002064	CC(=O)NCCCCN
HMDB0000226	OC(=O)C1=CC(=O)NC(=O)N1
HMDB0008038	CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCCCC
HMDB0002183	CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O
HMDB0007871	[H][C@@](COC(=O)CCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC
HMDB0000251	NCCS(O)(=O)=O
HMDB0010169	CCCCCCCCCCCCCCCC(=O)N[C@@]([H])(COP(O)(=O)OCC[N+](C)(C)C)[C@]([H])(O)\C=C\CCCCCCCCCCCCC
HMDB0007970	[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC
HMDB0010412	[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCCCCCCCC
HMDB0001414	NCCCCN
HMDB0000245	NCC1=C(CC(O)=O)C(CCC(O)=O)=CN1
HMDB0010370	CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C
HMDB0000201	CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C
HMDB0007991	CCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC
HMDB0001895	OC(=O)C1=CC=CC=C1O
HMDB0004956	CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)\C=C\CCCCCCCCCCCCC
HMDB0001138	CC(=O)NC(CCC(O)=O)C(O)=O
HMDB0004949	CCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)\C=C\CCCCCCCCCCCCC
HMDB0005065	CCCCCCCC\C=C/CCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C
HMDB0000020	OC(=O)CC1=CC=C(O)C=C1
HMDB0008039	CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC
HMDB0001906	CC(C)(N)C(O)=O
HMDB0000177	N[C@@H](CC1=CN=CN1)C(O)=O
HMDB0007199	[H][C@](CO)(COC(=O)CCCCCCCCC\C=C/CCCCCC)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC
HMDB0004952	CCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)\C=C\CCCCCCCCCCCCC
HMDB0000918	CCCCCCCC\C=C/CCCCCCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C
HMDB0011130	[H][C@@](O)(COC(=O)CCCCCCCCCCCCCCCCC)COP(O)(=O)OCCN
HMDB0000956	O[C@H]([C@@H](O)C(O)=O)C(O)=O
HMDB0002014	CCCCCCCC\C=C/CCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C
HMDB0011582	[H][C@](O)(CO)COC(=O)CCCCCCCCCCC\C=C/CCCCCCCC
HMDB0008047	CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC
HMDB0006731	CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C
HMDB0007972	CCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCCCC
HMDB0005359	[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCCCCCCCCCC
HMDB0003349	OC(=O)[C@@H]1CC(=O)NC(=O)N1
HMDB0010391	CCCCCCCC\C=C/CCCCCCCCCC(=O)OC[C@@]([H])(O)COP([O-])(=O)OCC[N+](C)(C)C
HMDB0002013	CCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C
HMDB0000222	CCCCCCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C
HMDB0013122	CCCCCCCCCCCCCCCC\C=C/OC[C@](O)([H])COP([O-])(=O)OCC[N+](C)(C)C
HMDB0001999	CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O
HMDB0000893	OC(=O)CCCCCCC(O)=O
HMDB0012104	CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCCCCCC\C=C/CCCCCCCC
HMDB0005476	[H][C@](COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC
HMDB0004159	CCC1C(CC2=N\C(=C\C3=C(CCC(O)=O)C(C)=C(CC4NC(=O)C(CC)C4C)N3)C(CCC(O)=O)=C2C)NC(=O)C1C
HMDB0004161	CCC1=C(C)C(=O)NC1CC1=C(C)C(CCC(O)=O)=C(N1)\C=C1/N=C(CC2NC(=O)C(C=C)=C2C)C(C)=C1CCC(O)=O
HMDB0001227	CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O
HMDB0005376	[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCC\C=C/CCCCCC
HMDB0000043	C[N+](C)(C)CC([O-])=O
HMDB0010384	[H][C@@](O)(COC(=O)CCCCCCCCCCCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C
HMDB0012103	CCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP([O-])(=O)OCC[N+](C)(C)C)[C@H](O)\C=C\CCCCCCCCCCCCC
HMDB0000666	CCCCCCC(O)=O
HMDB0000214	NCCC[C@H](N)C(O)=O
HMDB0000873	CC1=CC=C(O)C(O)=C1
HMDB0001232	OC1=CC=C(C=C1)[N+]([O-])=O
HMDB0002250	CCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C
HMDB0013337	CCCCCC\C=C/CCCCCCCCCC(=O)O[C@@H](CC([O-])=O)C[N+](C)(C)C
HMDB0008006	CCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC
HMDB0011252	CCCCCCCCCCCCCCCC\C=C/OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC
HMDB0000506	[H][C@@]12CCC([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@H](O)[C@@H](O)[C@]2([H])C[C@H](O)CC[C@]12C
HMDB0006469	CCCCC\C=C/C\C=C/CCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C
HMDB0012102	CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP([O-])(=O)OCC[N+](C)(C)C)[C@H](O)\C=C\CCCCCCCCCCCCC
HMDB0000067	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C
HMDB0005066	CCCCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C
HMDB0011621	OC(=O)CNC(=O)\C=C\C1=CC=CC=C1
HMDB0000086	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](O)CO
HMDB0000883	CC(C)[C@H](N)C(O)=O
HMDB0000897	CN1C=NC2=C1C(=O)N=C(N)N2
HMDB0011243	CCCCCCCCCCCCCCCC\C=C/OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCCCC
HMDB0003070	O[C@@H]1CC(=C[C@@H](O)[C@H]1O)C(O)=O
HMDB0011511	[H][C@@](O)(COC(=O)CCCCCCCCCCCCCCCCCCC)COP(O)(=O)OCCN
HMDB0000479	CN1C=NC=C1C[C@H](N)C(O)=O
HMDB0005395	[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC
HMDB0000128	NC(=N)NCC(O)=O
HMDB0000050	NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1
HMDB0000152	OC(=O)C1=C(O)C=CC(O)=C1
HMDB0059824	[H]OC1=C(C([H])=C(C([H])=C1[H])C(=O)C([H])([H])[H])C([H])([H])[H]
HMDB0007100	[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC
HMDB0001921	CN(C)C(=N)NC(N)=N
HMDB0001432	NCCCCNC(N)=N
HMDB0000030	[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2
HMDB0005432	[H]C(COC(=O)CCCCCCC\C=C/CCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCC\C=C/CCCCCC
HMDB0000139	OC[C@@H](O)C(O)=O
HMDB0000848	CCCCCCCCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C
HMDB0011506	[H][C@@](O)(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP(O)(=O)OCCN
HMDB0011697	CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@]([H])(COP(O)(=O)OCC[N+](C)(C)C)[C@]([H])(O)\C=C\CCCCCCCCCCCCC
HMDB0001161	C[N+](C)(C)CCCC(O)=O
HMDB0013339	CCCCCC\C=C/CCCCCCCC(O)CC(=O)O[C@@H](CC([O-])=O)C[N+](C)(C)C
HMDB0002172	CC(=O)NCCCNCCCCNCCCNC(C)=O
HMDB0010383	CCCCCC\C=C/CCCCCCCC(=O)OC[C@@]([H])(O)COP([O-])(=O)OCC[N+](C)(C)C
HMDB0012097	CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCCCCCCCC
HMDB0000784	OC(=O)CCCCCCCC(O)=O
HMDB0000132	NC1=NC(=O)C2=C(N1)N=CN2
HMDB0010407	CCCCCCCCCCCCCC\C=C/OC[C@](O)([H])COP([O-])(=O)OCC[N+](C)(C)C
HMDB0000535	CCCCCC(O)=O
HMDB0007158	[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC
HMDB0005396	[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC
HMDB0000870	NCCC1=CNC=N1
HMDB0002302	OC(=O)CCC1=CNC2=CC=CC=C12
HMDB0004610	CCCCCCCCCCCCCC[C@@H](O)[C@@H](O)[C@@H](N)CO
HMDB0000097	C[N+](C)(C)CCO
HMDB0005404	[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC
HMDB0000824	CCC(=O)OC(CC([O-])=O)C[N+](C)(C)C
HMDB0006733	CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C
HMDB0042289	[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/CCCC
HMDB0000555	C[C@@H](CCC(O)=O)CC(O)=O
HMDB0001924	CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1
