SMILES	HMDB	HMP2_metab
CC1=NC=C(CO)C(C(O)=O)=C1O	HMDB0000017	4-pyridoxate
CC(C)C(=O)C(O)=O	HMDB0000019	alpha-ketoisovalerate
OC(=O)CC1=CC=C(O)C=C1	HMDB0000020	p-hydroxyphenylacetate
NC(=O)NCCC(O)=O	HMDB0000026	N-carbamoyl-beta-alanine
[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2	HMDB0000030	biotin
NC1=C2NC=NC2=NC=N1	HMDB0000034	adenine
[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O	HMDB0000036	taurocholate
CCCC(O)=O	HMDB0000039	butyrate
C[N+](C)(C)CC([O-])=O	HMDB0000043	betaine
[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO	HMDB0000044	ascorbate
NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1	HMDB0000050	adenosine
CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1	HMDB0000054	bilirubin
NCCC(O)=O	HMDB0000056	beta-alanine
C[N+](C)(C)C[C@H](O)CC([O-])=O	HMDB0000062	carnitine
[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C	HMDB0000063	cortisol
CN(CC(O)=O)C(N)=N	HMDB0000064	creatine
[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C	HMDB0000067	cholesterol
C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](O)CO	HMDB0000086	alpha-glycerophosphocholine
NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	HMDB0000089	cytidine
CN(C)CC(O)=O	HMDB0000092	dimethylglycine
OC(=O)CC(O)(CC(O)=O)C(O)=O	HMDB0000094	citrate
C[N+](C)(C)CCO	HMDB0000097	choline
O[C@@H]1COC(O)[C@H](O)[C@H]1O	HMDB0000098	xylose
NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](CO)O1	HMDB0000101	2-deoxyadenosine
COC1=CC(CC(O)=O)=CC=C1O	HMDB0000118	homovanillate
OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O	HMDB0000122	fructose/glucose/galactose
NCC(O)=O	HMDB0000123	glycine
