hgncid,uniprot_id,protein_names,targetclass,go_function
VPS35L,Q7Z3J2,UPF0505 protein C16orf62 (Esophageal cancer-associated protein),Other,NA
ATRN,O75882,Attractin (DPPT-L) (Mahogany homolog),Receptor_all_others,NA
SPRYD4,Q8WW59,SPRY domain-containing protein 4,Other,"""NA"""
RASGRP1,O95267,RAS guanyl-releasing protein 1 (Calcium and DAG-regulated guanine nucleotide exchange factor II) (CalDAG-GEFII) (Ras guanyl-releasing protein),Other,guanyl-nucleotide exchange factor activity; Ras guanyl-nucleotide exchange factor activity; lipid binding; Ras GTPase binding; small GTPase binding; GTPase binding
NOP14,P78316,Nucleolar protein 14 (Nucleolar complex protein 14),Other,NA
COA7,Q96BR5,Cytochrome c oxidase assembly factor 7 (Beta-lactamase hcp-like protein) (Respiratory chain assembly factor 1) (Sel1 repeat-containing protein 1),Other,NA
SMARCAL1,Q9NZC9,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 (EC 3.6.4.-) (HepA-related protein) (hHARP) (Sucrose nonfermenting protein 2-like 1),Transcriptional_Factor_all_others,"pyrophosphatase activity; hydrolase activity, acting on acid anhydrides; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; nucleoside-triphosphatase activity; annealing helicase activity; annealing activity; catalytic activity, acting on DNA"
ODF2L,Q9ULJ1,Outer dense fiber protein 2-like,Other,NA
DDHD2,O94830,"Phospholipase DDHD2 (EC 3.1.1.-) (DDHD domain-containing protein 2) (KIAA0725p) (SAM, WWE and DDHD domain-containing protein 1)",Other,"""NA"""
HHATL,Q9HCP6,Protein-cysteine N-palmitoyltransferase HHAT-like protein (Glycerol uptake/transporter homolog) (Hedgehog acyltransferase-like protein),Enzyme_Transferase,NA
CCDC73,Q6ZRK6,Coiled-coil domain-containing protein 73 (Sarcoma antigen NY-SAR-79),Other,"""NA"""
RORC,P51449,Nuclear receptor ROR-gamma (Nuclear receptor RZR-gamma) (Nuclear receptor subfamily 1 group F member 3) (RAR-related orphan receptor C) (Retinoid-related orphan receptor-gamma),Nuclear Receptor,"transcription regulatory region sequence-specific DNA binding; RNA polymerase II regulatory region sequence-specific DNA binding; RNA polymerase II proximal promoter sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding; proximal promoter sequence-specific DNA binding; RNA polymerase II regulatory region DNA binding; regulatory region nucleic acid binding; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific; DNA-binding transcription repressor activity, RNA polymerase II-specific; double-stranded DNA binding; steroid binding; oxysterol binding; lipid binding; sterol binding; transcription regulatory region DNA binding; transcription factor activity, direct ligand regulated sequence-specific DNA binding; sequence-specific double-stranded DNA binding"
DOCK5,Q9H7D0,Dedicator of cytokinesis protein 5,Other,NA
KLK7,P49862,Kallikrein-7 (hK7) (EC 3.4.21.117) (Serine protease 6) (Stratum corneum chymotryptic enzyme) (hSCCE),Protease,"endopeptidase activity; metalloendopeptidase activity; peptidase activity; serine-type peptidase activity; metallopeptidase activity; serine hydrolase activity; peptidase activity, acting on L-amino acid peptides"
ABL1,P00519,Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150),Kinase_Protein,SNARE binding; nucleotide binding; magnesium ion binding; phosphotyrosine residue binding; actin binding; actin monomer binding; nicotinate-nucleotide adenylyltransferase activity; protein kinase activity; protein tyrosine kinase activity; non-membrane spanning protein tyrosine kinase activity; protein kinase C binding; ATP binding; protein C-terminus binding; cytoskeletal protein binding; drug binding; nucleotidyltransferase activity; purine nucleotide binding; SH3 domain binding; kinase binding; protein kinase binding; protein domain specific binding; syntaxin binding; manganese ion binding; adenyl nucleotide binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; purine ribonucleoside triphosphate binding; neuropilin binding; SH2 domain binding; protein phosphorylated amino acid binding; metal ion binding; transition metal ion binding; mitogen-activated protein kinase binding; phosphoprotein binding; proline-rich region binding; adenylyltransferase activity; carbohydrate derivative binding; nucleoside phosphate binding
COASY,Q13057,Bifunctional coenzyme A synthase (CoA synthase) (NBP) (POV-2) [Includes: Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT); Dephospho-CoA kinase (DPCK) (EC 2.7.1.24) (Dephosphocoenzyme A kinase) (DPCOAK)],Enzyme_all_others,dephospho-CoA kinase activity; pantetheine-phosphate adenylyltransferase activity; nucleotidyltransferase activity; adenylyltransferase activity
CAT,P04040,Catalase (EC 1.11.1.6),Enzyme_all_others,"nucleotide binding; catalase activity; peroxidase activity; antioxidant activity; oxidoreductase activity; oxidoreductase activity, acting on peroxide as acceptor; heme binding; tetrapyrrole binding; cofactor binding; NADP binding; coenzyme binding; nucleoside phosphate binding"
RXRG,P48443,Retinoic acid receptor RXR-gamma (Nuclear receptor subfamily 2 group B member 3) (Retinoid X receptor gamma),Nuclear Receptor,NA
DDIAS,Q8IXT1,Dna damage-induced apoptosis suppressor protein (Nitric oxide-inducible gene protein),Other,"""NA"""
PHF2,O75151,Lysine-specific demethylase PHF2 (EC 1.14.11.-) (GRC5) (PHD finger protein 2),Transcriptional_Factor_all_others,transcription coregulator activity; transcription coactivator activity; iron ion binding; zinc ion binding; demethylase activity; histone demethylase activity; histone demethylase activity (H3-K9 specific); methylated histone binding; histone binding; metal ion binding; transition metal ion binding; modification-dependent protein binding; methylation-dependent protein binding
LHFPL2,Q6ZUX7,LHFPL tetraspan subfamily member 2 protein (Lipoma HMGIC fusion partner-like 2 protein),Other,NA
